virginia,14,Francesco Badocchi,11,0,2.5,0.2,0.4,.500,0.2,0.3,.667,0.0,0.1,.000,0.1,0.2,.500,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.5,
north-carolina,1,Cameron Johnson,36,36,29.9,5.9,11.6,.506,3.2,5.8,.556,2.7,5.8,.457,2.5,3.1,.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,
north-carolina,2,Coby White,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,
north-carolina,3,Luke Maye,36,36,30.9,5.5,12.8,.430,4.5,9.3,.484,1.0,3.5,.288,2.9,3.7,.774,2.6,7.9,10.5,2.3,0.6,0.6,2.0,2.6,14.9,
north-carolina,4,Nassir Little,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,
north-carolina,5,Kenny Williams,36,36,30.0,3.0,7.4,.399,1.8,3.4,.525,1.2,4.1,.295,1.4,1.8,.797,1.1,2.8,3.9,3.5,0.9,0.3,1.6,1.8,8.6,
north-carolina,6,Garrison Brooks,36,36,23.0,3.2,5.6,.574,3.2,5.6,.574,0.0,0.0,,1.5,2.3,.639,2.3,3.3,5.6,1.3,0.6,0.5,0.8,2.9,7.9,
north-carolina,7,Sterling Manley,18,0,8.3,1.4,2.5,.578,1.4,2.5,.578,0.0,0.0,,0.6,1.1,.550,0.8,2.2,2.9,0.2,0.2,0.4,0.7,1.4,3.5,
north-carolina,8,Brandon Robinson,35,0,11.9,1.2,2.4,.494,0.5,1.0,.543,0.7,1.4,.460,0.3,0.5,.632,0.5,1.1,1.6,1.4,0.4,0.1,0.5,1.4,3.4,
north-carolina,9,Rechon Black,23,0,10.3,1.0,2.1,.469,0.8,1.6,.486,0.2,0.5,.417,0.3,0.3,.857,0.4,1.7,2.1,1.2,0.6,0.2,0.7,1.2,2.5,
